type:same_pinyin
同比下跌*，价格下滑，实际走动依然迟缓。	同比下跌*，价格峡滑，实际走动依然迟缓。
*眼内晶状体是一种柔软的人工晶状体，	*眼内晶状体是一种揉软的人工晶状体，
各国对于医疗或类医疗行为的规范不尽相同也就容易出现灰色地带，	各国对于医疗或类医疗行为的规范不尽相同也就容易出腺灰色地带，
随着行业内龙头企业越做越大，	随着行冶内龙头企业越做越大，
按品类看，二代产品中，	按品类看，而代产品中，
从人到产品的考核全部分开，	从人到产品的考核权部分开，
从制造商利润来看，*年华熙生物的玻尿酸销售收入为*亿元，	从制造商利润赖看，*年华熙生物的玻尿酸销售收入为*亿元，
辅助用药销售压力将进一步增大。	辅助用药销售压篱将进一步增大。
自主创新药将在安罗替尼呋喹替尼吡咯替尼及**单抗等品种带动下迎来爆发元年。	自主创新药将在安罗踢尼呋喹替尼吡咯替尼及**单抗等品种带动下迎来爆发元年。
他们为患者提供把脉问诊针灸推拿拣药煎药等纯中医中药诊疗服务，受到患者欢迎。	他们为患哲提供把脉问诊针灸推拿拣药煎药等纯中医中药诊疗服务，受到患者欢迎。
两个日期中最早的那个作为*天独占期的计算起点。	两个日期中最早的那个左为*天独占期的计算起点。
单季度来看，中药注射剂行业***营业收入净利润分别约为*亿元*亿元，	单季度来看，中药注射剂行业***营业收入净利润分别约为*亿园*亿元，
**销售队伍庞大，满足零售药店快速扩张需求。	**销售队伍螃大，满足零售药店快速扩张需求。
医疗健康企业估值会大幅提升，	医潦健康企业估值会大幅提升，
它们属于单域抗体，是分子量最小的能够与抗原特异性结合的抗体片段之一。	它们属于删域抗体，是分子量最小的能够与抗原特异性结合的抗体片段之一。
重点产品销售收入增幅保持*以上，	重点产品销售首入增幅保持*以上，
包括*个生物类似药和*个生物创新药，	包括*个生物类似药和*个生物撞新药，
缩短境内外新药上市时间间隔，加快引进国际新药。	缩短境内外新药尚市时间间隔，加快引进国际新药。
①新彩超定位中高端产品，	①新彩超定位中高段产品，
年复合增长率*，住院量上涨*，年复合增长率*。	年扶合增长率*，住院量上涨*，年复合增长率*。
*个品种中*个品种入选。	*个品种中*个品种入悬。
全球并购浪潮再起，国内研发药企受追捧近些年来全球制药企业的并购金额呈上升趋势，	圈球并购浪潮再起，国内研发药企受追捧近些年来全球制药企业的并购金额呈上升趋势，
日本胃镜死亡率日本胃癌死亡率有**以来快速下降，	日本胃镜死亡率日本胃癌死亡率有**姨来快速下降，
从细分领域单笔融资金额来看，	从细分领娱单笔融资金额来看，
也成为瑞士某些医疗机构吸引中国主顾的招牌。	也成为瑞士某些医疗机构吸引中国主顾的招湃。
其中抗病毒颗粒一季度增速高达*，	其中抗病毒颗狸一季度增速高达*，
新氧月活增长不及预期，	新氧月活增彰不及预期，
泮托拉唑和他克莫司均非基药产品，	泮托拉唑和他克莫司均非其药产品，
藏红花系列*年底将上市，	藏红花系咧*年底将上市，
*月份，整体*指数*，	*月份，正体*指数*，
