type:same_pinyin
优先审评加速审评明显，	优先绅评加速审评明显，
并购整合使报表实现大幅增长，	并购争合使报表实现大幅增长，
以换取更大的市场，提高了药品的可及性，	以换取更大的市场，提高了药品的可及兴，
归根到底指向的结果只有一个强者恒强。	归根到底指向的结果只有一个强摘恒强。
占比变化也比较平稳。	占辟变化也比较平稳。
*的医药板块必然不会寂寞。	*的医耀板块必然不会寂寞。
为慢病费药病人进行分期付款，	为慢病非药病人进行分期付款，
室齐全，一直以来拥有大量高水平的执业医师，	室齐全，一直以来拥有大量高水平的执业仪师，
中源协和公司预计*年归母净利**万元，	中源协和公司预计*年归幕净利**万元，
部分品种由于相关治疗领域市场竞争格局良好以及新纳入医保等因素，	部分品种由于相关治疗领域市场竞争格局良好以及新纳入医刨等因素，
估值低性价比凸显的*企业济川药业葵花药业华润三九等；	估值低性价比凸显的*企业济川药业窥花药业华润三九等；
相关样本标的包含科华生物达安基因利德曼迪瑞医疗九强生物美康生物迈克生物安图生物迪安诊断润达医疗塞力斯。	相关样本标的包含咳华生物达安基因利德曼迪瑞医疗九强生物美康生物迈克生物安图生物迪安诊断润达医疗塞力斯。
审评过程公开透明，溶瘤病毒Ⅲ期临床的批准意味着无论是学术界还是社会人士开始逐步认可溶瘤病毒。	审评过程公开透明，溶瘤兵毒Ⅲ期临床的批准意味着无论是学术界还是社会人士开始逐步认可溶瘤病毒。
股价下跌导致质押物贬值，从而股东信用受损。	估价下跌导致质押物贬值，从而股东信用受损。
同时海德股份公告拟成立资产管理公司申请不良资管公司业务牌照。	同时海德股份公告拟成立资产管理公司申请不良资馆公司业务牌照。
表明在*渠道，良好的品牌形象可以给企业带来极大的品牌溢价，	表明在*渠道，良好的品牌形象可以给企业带来极大的频牌溢价，
原料药企业的对应仿制药原料药品种的销售上限将获得突破的机会。	原料药企业的对应仿制药原料药品盅的销售上限将获得突破的机会。
调拨业务受到冲击，龙头企业纯销业务增长高于当地行业平均。	调拨业务受到冲击，龙头企业纯效业务增长高于当地行业平均。
医药板块中，涨幅最大的是医疗服务*子板块，	医乐板块中，涨幅最大的是医疗服务*子板块，
国家版带量采购文件基本稳定了前期市场的悲观预期。	国家版带量踩购文件基本稳定了前期市场的悲观预期。
业绩上，目前处于*年业绩预告的窗口期，	业绩上，目前处于*年冶绩预告的窗口期，
证券研究报告行业周报*年*月*日泛零售业态观察连锁药店和超市企业比较药店毛利率和坪效优势显著，	证券研究报告行业周报*年*月*日泛零售业态观察连锁耀店和超市企业比较药店毛利率和坪效优势显著，
从*年的*万亿单位到*年的*万亿单位，	从*年的*顽亿单位到*年的*万亿单位，
红日药业子公司博广医健与万泰辅料签订增资协议，	红日药业子公司博广医肩与万泰辅料签订增资协议，
沪深涨幅最大的企业为安科生物。	沪深涨幅最大的企业为安科胜物。
评级说明行买入未来**个月的投资收益率领先市场基准指数*以上；	评级说明行买入未来**个月的投资收益率领先市场基准秩数*以上；
港股我们重点关注东阳光药绿叶制药药明生物丽珠医药白云山。	港股我们重点关注东阳光药绿叶制药邀明生物丽珠医药白云山。
根据米内网数据显示，*年国内重点城市公立医院阿托伐他汀市场中，	根据米内网数据显示，*年国内重点城市公立异院阿托伐他汀市场中，
违锁医疗机极更宨易兯享人才。	违锁医疗吃极更宨易兯享人才。
罕见疾病领跑并购交易，共有起退出交易。	罕见疾病领跑并购交益，共有起退出交易。
企业管理成熟，连锁药店的快速扩大也提升了*的市场规模。	企业管理成熟，炼锁药店的快速扩大也提升了*的市场规模。
博济医药持股*以上股东达晨创世已减持*万股。	博济尾药持股*以上股东达晨创世已减持*万股。
*年医药行业并购事件和金额均有所回落，	*年仪药行业并购事件和金额均有所回落，
三报三批回归两报两批对于在中国进行的国际多中心药物临床试验，	三报三批回归两报两批对于在中国进行的国际多中心咬物临床试验，
*年**月，全国医疗卫生机构总诊疗人次达*亿人次，同比提高*。	*年**月，全国医疗卫生冀构总诊疗人次达*亿人次，同比提高*。
无论将活动物细胞还是细胞精华注入人体都是非法，	无论将活动物膝胞还是细胞精华注入人体都是非法，
本轮融资由普华资本领投，	本抡融资由普华资本领投，
*年加入国海证券医药组，	*年加入国咳证券医药组，
*年，全球新药研发支出约为*亿美元，过去*年*为*。	*年，全球心药研发支出约为*亿美元，过去*年*为*。
我们预计公司将成为他克莫司国内第一个通过一致性评价的企业，	我们预计公司将成为他克莫司国内第一个通过一致性评嘉的企业，
体外诊断行业业务模式相对简单，	体外镇断行业业务模式相对简单，
过去几年医药板块没有系统性机会更多是源于支付端医保基金的紧张，	过去几年医药板快没有系统性机会更多是源于支付端医保基金的紧张，
